"🍏"
"🍎"
"🍐"
"🍊"
"🍋"
"🍌"
"🍉"
"🍇"
"🍓"
"🍈"
"🍒"
"🍑"
"🍍"
"🍅"
"🍆"
"🌶"
"🌽"
"🍠"
"🍯"
"🍞"
"🧀"
"🍗"
"🍖"
"🍤"
"🍳"
"🍔"
"🍟"
"🌭"
"🍕"
"🍝"
"🌮"
"🌯"
"🍜"
"🍲"
"🍥"
"🍣"
"🍱"
"🍛"
"🍙"
"🍚"
"🍘"
"🍢"
"🍡"
"🍧"
"🍨"
"🍦"
"🍰"
"🎂"
"🍮"
"🍬"
"🍭"
"🍫"
"🍿"
"🍩"
"🍪"
"🍺"
"🍻"
"🍷"
"🍸"
"🍹"
"🍾"
"🍶"
"🍵"
"🍼"
"🍴"
"🍽"
