"😀"
"😬"
"😁"
"😂"
"😃"
"😄"
"😅"
"😆"
"😇"
"😉"
"😊"
"🙂"
"🙃"
"😋"
"😌"
"😍"
"😘"
"😗"
"😙"
"😚"
"😜"
"😝"
"😛"
"🤑"
"🤓"
"😎"
"🤗"
"😏"
"😶"
"😐"
"😑"
"😒"
"🙄"
"🤔"
"😳"
"😞"
"😟"
"😠"
"😡"
"😔"
"😕"
"🙁"
"😣"
"😖"
"😫"
"😩"
"😤"
"😮"
"😱"
"😨"
"😰"
"😯"
"😦"
"😧"
"😢"
"😥"
"😪"
"😓"
"😭"
"😵"
"😲"
"🤐"
"😷"
"🤒"
"🤕"
"😴"
"💤"
"💩"
"😈"
"👿"
"👹"
"👺"
"💀"
"👻"
"👽"
"🤖"
"😺"
"😸"
"😹"
"😻"
"😼"
"😽"
"🙀"
"😿"
"😾"
"🙌"
"🙌🏻"
"🙌🏼"
"🙌🏽"
"🙌🏾"
"🙌🏿"
"👏"
"👏🏼"
"👏🏼"
"👏🏽"
"👏🏾"
"👏🏿"
"👋"
"👋🏻"
"👋🏼"
"👋🏽"
"👋🏾"
"👋🏿"
"👍"
"👍🏻"
"👍🏼"
"👍🏽"
"👍🏾"
"👍🏿"
"👎"
"👎🏻"
"👎🏼"
"👎🏽"
"👎🏾"
"👎🏿"
"👊"
"👊🏻"
"👊🏼"
"👊🏽"
"👊🏾"
"👊🏿"
"✊🏻"
"✊🏼"
"✊🏽"
"✊🏾"
"✊🏿"
"✌🏻"
"✌🏼"
"✌🏽"
"✌🏾"
"✌🏿"
"👌"
"👌🏻"
"👌🏼"
"👌🏽"
"👌🏾"
"👌🏿"
"✋🏻"
"✋🏼"
"✋🏽"
"✋🏾"
"✋🏿"
"👐"
"👐🏻"
"👐🏼"
"👐🏽"
"👐🏾"
"👐🏿"
"💪"
"💪🏻"
"💪🏼"
"💪🏽"
"💪🏾"
"💪🏿"
"🙏"
"🙏🏻"
"🙏🏼"
"🙏🏽"
"🙏🏾"
"🙏🏿"
"☝🏻"
"☝🏼"
"☝🏽"
"☝🏾"
"☝🏿"
"👆"
"👆🏻"
"👆🏼"
"👆🏽"
"👆🏾"
"👆🏿"
"👇"
"👇🏻"
"👇🏼"
"👇🏽"
"👇🏾"
"👇🏿"
"👈"
"👈🏻"
"👈🏼"
"👈🏽"
"👈🏾"
"👈🏿"
"👉"
"👉🏻"
"👉🏼"
"👉🏽"
"👉🏾"
"👉🏿"
"🖕"
"🖕🏻"
"🖕🏼"
"🖕🏽"
"🖕🏾"
"🖕🏿"
"🖐"
"🖐🏻"
"🖐🏼"
"🖐🏽"
"🖐🏾"
"🖐🏿"
"🤘"
"🤘🏻"
"🤘🏼"
"🤘🏽"
"🤘🏾"
"🤘🏿"
"🖖"
"🖖🏻"
"🖖🏼"
"🖖🏽"
"🖖🏾"
"🖖🏿"
"✍🏻"
"✍🏼"
"✍🏽"
"✍🏾"
"✍🏿"
"💅"
"💅🏻"
"💅🏼"
"💅🏽"
"💅🏾"
"💅🏿"
"👄"
"👅"
"👂"
"👂🏻"
"👂🏼"
"👂🏽"
"👂🏾"
"👂🏿"
"👃"
"👃🏻"
"👃🏼"
