"💛"
"💚"
"💙"
"💜"
"💔"
"💕"
"💞"
"💓"
"💗"
"💖"
"💘"
"💝"
"💟"
"🕉"
"🔯"
"🕎"
"🛐"
"🆔"
"🈳"
"🈹"
"📴"
"📳"
"🈶"
"🈚"
"🈸"
"🈺"
"🈷"
"🆚"
"🉑"
"💮"
"🉐"
"🈴"
"🈵"
"🈲"
"🅰"
"🅱"
"🆎"
"🆑"
"🅾"
"🆘"
"📛"
"🚫"
"💢"
"🚷"
"🚯"
"🚳"
"🚱"
"🔞"
"📵"
"💯"
"🔅"
"🔆"
"🔱"
"🚸"
"🔰"
"🈯"
"💹"
"💠"
"🌀"
"🌐"
"🏧"
"🈂"
"🛂"
"🛃"
"🛄"
"🛅"
"🚭"
"🚾"
"🅿"
"🚰"
"🚹"
"🚺"
"🚼"
"🚻"
"🚮"
"🎦"
"📶"
"🈁"
"🆖"
"🆗"
"🆙"
"🆒"
"🆕"
"🆓"
"🔟"
"🔢"
"🔀"
"🔁"
"🔂"
"🔼"
"🔽"
"🔄"
"🔤"
"🔡"
"🔠"
"🔣"
"🎵"
"🎶"
"🔃"
"💲"
"💱"
"🔚"
"🔙"
"🔛"
"🔝"
"🔜"
"🔘"
"🔴"
"🔵"
"🔸"
"🔹"
"🔶"
"🔷"
"🔺"
"🔻"
"🔲"
"🔳"
"🔈"
"🔉"
"🔊"
"🔇"
"📣"
"📢"
"🔔"
"🔕"
"🃏"
"🀄"
"🎴"
"👁‍🗨"
"💭"
"🗯"
"💬"
"🕐"
"🕑"
"🕒"
"🕓"
"🕔"
"🕕"
"🕖"
"🕗"
"🕘"
"🕙"
"🕚"
"🕛"
"🕜"
"🕝"
"🕞"
"🕟"
"🕠"
"🕡"
"🕢"
"🕣"
"🕤"
"🕥"
"🕦"
"🕧"
